
-210.937500,-890.625000,15601.562500,-2.582,0.813,11.349 
-195.312500,-679.687500,16000.000000,-2.571,0.818,11.349 
-273.437500,-593.750000,16296.875000,-2.571,0.818,11.349 
-218.750000,-835.937500,15984.375000,-2.582,0.813,11.349 
-156.250000,-843.750000,15625.000000,-2.582,0.813,11.349 
-281.250000,-671.875000,16085.937500,-2.571,0.813,11.349 
-257.812500,-593.750000,16500.000000,-2.571,0.813,11.349 
-195.312500,-773.437500,15632.812500,-2.582,0.813,11.349 
-218.750000,-890.625000,15828.125000,-2.587,0.813,11.349 
-257.812500,-695.312500,16125.000000,-2.571,0.813,11.349 
-156.250000,-523.437500,16062.500000,-2.565,0.813,11.349 
-210.937500,-820.312500,16078.125000,-2.582,0.813,11.349 
-203.125000,-914.062500,15750.000000,-2.582,0.813,11.349 
-179.687500,-742.187500,15687.500000,-2.571,0.813,11.349 
-312.500000,-601.562500,16281.250000,-2.571,0.813,11.349 
-179.687500,-773.437500,16226.562500,-2.582,0.813,11.349 
-164.062500,-921.875000,15421.875000,-2.587,0.813,11.349 
-195.312500,-703.125000,15914.062500,-2.576,0.813,11.349 
-210.937500,-531.250000,16562.500000,-2.571,0.813,11.349 
-234.375000,-718.750000,15828.125000,-2.582,0.813,11.349 
-117.187500,-960.937500,15687.500000,-2.587,0.813,11.349 
-265.625000,-742.187500,16085.937500,-2.576,0.813,11.349 
-234.375000,-515.625000,16203.125000,-2.571,0.813,11.349 
-257.812500,-664.062500,16109.375000,-2.582,0.813,11.349 
-203.125000,-937.500000,15820.312500,-2.587,0.813,11.349 
-234.375000,-796.875000,15867.187500,-2.582,0.813,11.349 
-265.625000,-523.437500,16226.562500,-2.571,0.813,11.349 
-226.562500,-734.375000,16164.062500,-2.582,0.813,11.349 
-210.937500,-945.312500,15781.250000,-2.593,0.813,11.349 
-140.625000,-765.625000,15640.625000,-2.582,0.813,11.349 
-289.062500,-617.187500,16304.687500,-2.571,0.813,11.349 
-226.562500,-671.875000,16203.125000,-2.582,0.813,11.349 
-195.312500,-882.812500,15445.312500,-2.587,0.813,11.349 
-250.000000,-882.812500,15828.125000,-2.582,0.813,11.349 
-234.375000,-539.062500,16289.062500,-2.571,0.813,11.349 
-273.437500,-671.875000,16000.000000,-2.582,0.813,11.349 
-164.062500,-929.687500,15796.875000,-2.593,0.813,11.349 
-250.000000,-851.562500,15953.125000,-2.587,0.813,11.349 
-203.125000,-515.625000,16039.062500,-2.571,0.813,11.349 
-273.437500,-601.562500,16250.000000,-2.582,0.813,11.349 
-203.125000,-914.062500,15976.562500,-2.593,0.807,11.349 
-171.875000,-898.437500,15531.250000,-2.587,0.807,11.349 
-234.375000,-585.937500,16203.125000,-2.576,0.813,11.349 
