
-742.187500,15593.750000,-2.379,0.533,-75.558 
-117.187500,-625.000000,16296.875000,-2.379,0.533,-75.558 
-125.000000,-750.000000,16304.687500,-2.384,0.527,-75.558 
-46.875000,-734.375000,15562.500000,-2.390,0.527,-75.558 
-273.437500,-718.750000,15914.062500,-2.390,0.527,-75.564 
-171.875000,-656.250000,16445.312500,-2.384,0.533,-75.564 
15.625000,-648.437500,15960.937500,-2.384,0.522,-75.558 
-296.875000,-679.687500,15687.500000,-2.395,0.527,-75.564 
-320.312500,-671.875000,16046.875000,-2.390,0.533,-75.564 
0.000000,-648.437500,16296.875000,-2.379,0.527,-75.558 
-125.000000,-656.250000,16007.812500,-2.384,0.527,-75.558-343.750000,-750.000000,15968.750000,-2.390,0.533,-75.564 
-148.437500,-687.500000,15890.625000,-2.390,0.533,-75.564 
-125.000000,-617.187500,16078.125000,-2.379,0.527,-75.558 
-156.250000,-703.125000,16351.562500,-2.384,0.527,-75.558 
-93.750000,-773.437500,15710.937500,-2.395,0.527,-75.558 
-179.687500,-671.875000,15640.625000,-2.395,0.527,-75.558 
-226.562500,-656.250000,16429.687500,-2.384,0.533,-75.564 
-78.125000,-726.562500,16210.937500,-2.384,0.527,-75.558 
-46.875000,-734.375000,15656.250000,-2.390,0.527,-75.558 
-359.375000,-703.125000,15882.812500,-2.390,0.533,-75.564 
-101.562500,-679.687500,16414.062500,-2.384,0.533,-75.564 
-23.437500,-687.500000,16039.062500,-2.379,0.522,-75.558 
-273.437500,-750.000000,15804.687500,-2.395,0.533,-75.564 
-203.125000,-710.937500,15898.437500,-2.395,0.533,-75.564 
31.250000,-601.562500,16007.812500,-2.379,0.527,-75.558 
-93.750000,-679.687500,16109.375000,-2.379,0.527,-75.558 
-234.375000,-710.937500,15992.187500,-2.390,0.533,-75.564 
-7.812500,-703.125000,15500.000000,-2.390,0.533,-75.558 
-164.062500,-609.375000,16054.687500,-2.384,0.533,-75.564 
-101.562500,-695.312500,16398.437500,-2.379,0.533,-75.564 
0.000000,-742.187500,15710.937500,-2.390,0.533,-75.564 
-281.250000,-664.062500,15593.750000,-2.390,0.533,-75.564 
-179.687500,-640.625000,16343.750000,-2.384,0.538,-75.564 
39.062500,-703.125000,16148.437500,-2.379,0.533,-75.558 
-179.687500,-687.500000,15757.812500,-2.384,0.533,-75.564 
-312.500000,-726.562500,15906.250000,-2.390,0.538,-75.564 
-31.250000,-640.625000,16046.875000,-2.384,0.533,-75.564 
-101.562500,-617.187500,16140.625000,-2.373,0.533,-75.558 
-218.750000,-710.937500,16109.375000,-2.384,0.533,-75.564 
-101.562500,-718.750000,15570.312500,-2.390,0.533,-75.564 
-171.875000,-617.187500,16000.000000,-2.379,0.533,-75.564 
-179.687500,-648.437500,16375.000000,-2.373,0.533,-75.564 
-125.000000,-718.750000,16015.625000,-2.384,0.533,-75.564 
-218.750000,-703.125000,15578.125000,-2.384,0.538,-75.564 
-265.625000,-671.875000,16140.625000,-2.373,0.538,-75.564 
-39.062500,-703.125000,16382.812500,-2.373,0.533,-75.564 
-7.812500,-718.750000,15765.625000,-2.384,0.533,-75.564 
-296.875000,-742.187500,15687.500000,-2.384,0.538,-75.564 
-140.625000,-726.562500,16054.687500,-2.373,0.533,-75.564 
85.937500,-625.000000,16039.062500,-2.373,0.533,-75.558 
-195.312500,-664.062500,15984.375000,-2.384,0.538,-75.564 
-250.000000,-734.375000,15773.437500,-2.390,0.538,-75.564 
-31.250000,-648.437500,15742.187500,-2.373,0.533,-75.564 
-257.812500,-609.375000,16281.250000,-2.373,0.533,-75.564 
-164.062500,-695.312500,16257.812500,-2.379,0.533,-75.564 
-62.500000,-718.750000,15601.562500,-2.384,0.533,-75.564 
-281.250000,-648.437500,15773.437500,-2.379,0.538,-75.564 
-156.250000,-671.875000,16437.500000,-2.373,0.533,-75.564 
70.312500,-687.500000,15820.312500,-2.379,0.533,-75.564 
-210.937500,-703.125000,15679.687500,-2.384,0.538,-75.564 
-296.875000,-710.937500,16031.250000,-2.379,0.538,-75.564 
93.750000,-671.875000,15992.187500,-2.373,0.533,-75.564 
-85.937500,-703.125000,16031.250000,-2.384,0.538,-75.564 
-242.187500,-734.375000,15820.312500,-2.390,0.538,-75.564 
-31.250000,-640.625000,15734.375000,-2.379,0.538,-75.564 
-101.562500,-632.812500,16023.437500,-2.373,0.538,-75.564 
-156.250000,-671.875000,16289.062500,-2.379,0.538,-75.564 
-93.750000,-757.812500,15734.375000,-2.390,0.533,-75.564 
-234.375000,-601.562500,15671.875000,-2.379,0.538,-75.564 
-218.750000,-625.000000,16421.875000,-2.373,0.538,-75.564 
-62.500000,-671.875000,16226.562500,-2.379,0.533,-75.564 
-125.000000,-710.937500,15695.312500,-2.384,0.538,-75.564 
-273.437500,-718.750000,16046.875000,-2.384,0.544,-75.564 
-54.687500,-656.250000,16250.000000,-2.373,0.533,-75.564 
31.250000,-656.250000,15960.937500,-2.379,0.538,-75.564 
-242.187500,-742.187500,15882.812500,-2.390,0.544,-75.564 
-156.250000,-773.437500,15796.875000,-2.384,0.538,-75.564 
23.437500,-671.875000,15906.250000,-2.373,0.533,-75.564 
-156.250000,-625.000000,16132.812500,-2.379,0.538,-75.564 
-125.000000,-765.625000,15929.687500,-2.390,0.538,-75.564 
-62.500000,-664.062500,15492.187500,-2.384,0.538,-75.564 
-218.750000,-609.375000,16109.375000,-2.373,0.538,-75.564 
-93.750000,-687.500000,16437.500000,-2.379,0.533,-75.564 
-31.250000,-742.187500,15500.000000,-2.384,0.538,-75.564 
-320.312500,-656.250000,15804.687500,-2.384,0.538,-75.564 
-195.312500,-625.000000,16281.250000,-2.379,0.533,-75.564 
117.187500,-632.812500,15960.937500,-2.379,0.533,-75.558 
-265.625000,-734.375000,15906.250000,-2.390,0.538,-75.564 
-296.875000,-734.375000,15773.437500,-2.384,0.538,-75.564 
62.500000,-640.625000,16023.437500,-2.373,0.533,-75.558 
-156.250000,-593.750000,16101.562500,-2.379,0.533,-75.564 
-156.250000,-750.000000,16000.000000,-2.390,0.533,-75.564 
-54.687500,-726.562500,15617.187500,-2.390,0.533,-75.564 
-148.437500,-648.437500,15828.125000,-2.379,0.538,-75.564 
-140.625000,-632.812500,16398.437500,-2.379,0.538,-75.564 
-78.125000,-742.187500,15890.625000,-2.390,0.538,-75.564 
-171.875000,-664.062500,15539.062500,-2.390,0.538,-75.564 
-296.875000,-687.500000,16218.750000,-2.379,0.538,-75.564 
171.875000,-445.312500,15796.875000,-2.368,0.527,-75.564 
